indice_a,indice_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,similitud_nombre,misma_direccion,mismo_telefono,status_a,status_b,decision
4732,5070,01-08-0456-46,01-08-7785-46,COLEGIO EXPERIMENTAL CRISTIANO VERBO NO.2,COLEGIO EXPERIMENTAL CRISTIANO VERBO NO. 4,96.4,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
1554,1587,00-01-0531-46,00-01-0595-46,LICEO HISPANOAMERICANO NO. 3,LICEO HISPANOAMERICANO NO. 2,96.4,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
1587,1705,00-01-0595-46,00-01-0803-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 3,96.4,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
1587,1627,00-01-0595-46,00-01-0664-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1587,1628,00-01-0595-46,00-01-0666-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1587,1629,00-01-0595-46,00-01-0667-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
6470,6475,13-03-0065-46,13-03-0076-46,"LICEO PRIVADO MIXTO ""EMANUEL""",LICEO PRIVADO MIXTO EMANUEL,96.4,False,True,ABIERTA,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
1445,1553,00-01-0323-46,00-01-0527-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 3,96.4,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
1445,1554,00-01-0323-46,00-01-0531-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 3,96.4,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1444,1626,00-01-0322-46,00-01-0663-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1444,1705,00-01-0322-46,00-01-0803-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 3,96.4,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
1444,1625,00-01-0322-46,00-01-0662-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,CERRADA TEMPORALMENTE,CERRADA DEFINITIVAMENTE,Probablemente distintos (direccion diferente): conservar ambos
1443,1626,00-01-0318-46,00-01-0663-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
1445,1625,00-01-0323-46,00-01-0662-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 4,96.4,False,False,ABIERTA,CERRADA DEFINITIVAMENTE,Probablemente distintos (direccion diferente): conservar ambos
1445,1555,00-01-0323-46,00-01-0532-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 3,96.4,False,False,ABIERTA,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5643,5775,01-15-0301-46,01-15-0716-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5642,5778,01-15-0299-46,01-15-0722-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5643,5778,01-15-0301-46,01-15-0722-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5643,5776,01-15-0301-46,01-15-0718-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5642,5779,01-15-0299-46,01-15-0724-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5640,5641,01-15-0295-46,01-15-0297-46,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
5639,5643,01-15-0292-46,01-15-0301-46,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
