departamento,municipio,establecimiento,registros,direcciones_distintas,status_distintos,jornadas_distintas,planes_distintos,codigos
CIUDAD CAPITAL,ZONA 2,INSTITUTO PRÁCTICO MODERNO,6,6,2,2,2,00-02-0055-46; 00-02-0058-46; 00-02-0069-46; 00-02-0078-46; 00-02-0083-46; 00-02-0115-46
EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,6,6,2,2,1,02-03-0021-46; 02-03-0022-46; 02-03-0023-46; 02-03-0109-46; 02-03-0112-46; 02-03-0167-46
GUATEMALA,VILLA NUEVA,LICEO INTERCULTURAL DE GUATEMALA,6,6,2,4,3,01-15-0550-46; 01-15-0551-46; 01-15-0623-46; 01-15-0643-46; 01-15-0744-46; 01-15-0803-46
IZABAL,MORALES,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,6,6,1,2,1,18-04-0087-46; 18-04-0100-46; 18-04-0118-46; 18-04-0224-46; 18-04-0404-46; 18-04-0545-46
SAN MARCOS,NUEVO PROGRESO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,6,6,1,2,1,12-12-0042-46; 12-12-0043-46; 12-12-0101-46; 12-12-0105-46; 12-12-0106-46; 12-12-0110-46
GUATEMALA,VILLA NUEVA,CENTRO EDUCATIVO JOSÉ MILLA Y VIDAURRE,9,5,3,4,3,01-15-0019-46; 01-15-0052-46; 01-15-0184-46; 01-15-0210-46; 01-15-0222-46; 01-15-0458-46; 01-15-0681-46; 01-15-2077-46; 01-15-8133-46
CIUDAD CAPITAL,ZONA 7,COLEGIO EN COMPUTACIÓN SAN JUAN,7,5,3,4,3,00-07-0061-46; 00-07-0063-46; 00-07-0064-46; 00-07-0086-46; 00-07-0087-46; 00-07-0144-46; 00-07-0212-46
CIUDAD CAPITAL,ZONA 7,LICEO DE CIENCIA Y TECNOLOGÍA,7,5,3,4,4,00-07-0214-46; 00-07-0281-46; 00-07-0282-46; 00-07-9092-46; 00-07-9093-46; 00-07-9094-46; 00-07-9545-46
IZABAL,LIVINGSTON,COLEGIO PARTICULAR MIXTO MUNDO JUVENIL,7,5,2,4,3,18-02-0276-46; 18-02-0280-46; 18-02-0281-46; 18-02-0351-46; 18-02-0382-46; 18-02-0383-46; 18-02-0417-46
SAN MARCOS,CONCEPCIÓN TUTUAPA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,7,5,2,2,1,12-06-0079-46; 12-06-0084-46; 12-06-0118-46; 12-06-0119-46; 12-06-0123-46; 12-06-0178-46; 12-06-0181-46
HUEHUETENANGO,AGUACATÁN,INSTITUTO MAYANCE AGUACATECO,6,5,2,4,3,13-27-0066-46; 13-27-0080-46; 13-27-0085-46; 13-27-0088-46; 13-27-1511-46; 13-27-6878-46
PETÉN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO",6,5,2,3,2,17-01-0058-46; 17-01-0085-46; 17-01-0086-46; 17-01-3564-46; 17-01-3568-46; 17-01-3569-46
TOTONICAPÁN,TOTONICAPÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,6,5,2,3,1,08-01-0328-46; 08-01-0329-46; 08-01-0330-46; 08-01-0331-46; 08-01-0332-46; 08-01-0341-46
ZACAPA,LA UNIÓN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,6,5,2,1,1,19-09-0060-46; 19-09-0061-46; 19-09-0062-46; 19-09-0063-46; 19-09-0064-46; 19-09-0067-46
ALTA VERAPAZ,COBÁN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,2,2,1,16-01-0428-46; 16-01-0616-46; 16-01-0642-46; 16-01-0926-46; 16-01-0927-46
BAJA VERAPAZ,SALAMÁ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,1,2,1,15-01-0087-46; 15-01-0116-46; 15-01-0162-46; 15-01-0190-46; 15-01-0191-46
CIUDAD CAPITAL,ZONA 18,LICEO DE CIENCIAS Y TÉCNICAS DE COMPUTACIÓN,5,5,3,4,3,00-18-0240-46; 00-18-7237-46; 00-18-7238-46; 00-18-8898-46; 00-18-8899-46
ESCUINTLA,MASAGUA,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ.,5,5,3,2,2,05-05-0048-46; 05-05-0051-46; 05-05-0054-46; 05-05-0077-46; 05-05-0079-46
GUATEMALA,AMATITLÁN,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,5,5,3,3,2,01-14-0050-46; 01-14-0052-46; 01-14-0135-46; 01-14-0136-46; 01-14-0211-46
GUATEMALA,AMATITLÁN,LICEO MIXTO SAN JUAN,5,5,3,4,1,01-14-0190-46; 01-14-1921-46; 01-14-2692-46; 01-14-2796-46; 01-14-7084-46
GUATEMALA,MIXCO,CENTRO EDUCATIVO EL PODEROSO DE ISRAEL,5,5,2,4,3,01-08-0186-46; 01-08-1011-46; 01-08-1012-46; 01-08-1014-46; 01-08-1016-46
GUATEMALA,MIXCO,CENTRO INTEGRAL EDUCATIVO SAN FRANCISCO,5,5,3,4,3,01-08-0545-46; 01-08-0550-46; 01-08-0552-46; 01-08-0618-46; 01-08-0763-46
GUATEMALA,PALENCIA,COLEGIO GUATEMALTECO TIKAL,5,5,2,4,3,01-05-0053-46; 01-05-0054-46; 01-05-0080-46; 01-05-0124-46; 01-05-0143-46
GUATEMALA,SAN RAYMUNDO,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,1,1,1,01-11-0061-46; 01-11-0062-46; 01-11-0063-46; 01-11-0064-46; 01-11-0065-46
GUATEMALA,VILLA NUEVA,COLEGIO RAFAEL AREVALO MARTÍNEZ,5,5,2,4,3,01-15-0234-46; 01-15-0479-46; 01-15-0677-46; 01-15-7698-46; 01-15-8535-46
HUEHUETENANGO,SANTA CRUZ BARILLAS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,1,1,1,13-26-0162-46; 13-26-0166-46; 13-26-0197-46; 13-26-0201-46; 13-26-0229-46
IZABAL,LIVINGSTON,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,1,1,1,18-02-0188-46; 18-02-0191-46; 18-02-0328-46; 18-02-0330-46; 18-02-0443-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO CIENTÍFICO DE ESTUDIOS EN COMPUTACIÓN,5,5,3,4,2,09-01-0378-46; 09-01-0823-46; 09-01-2758-46; 09-01-3419-46; 09-01-3421-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO TECNOLÓGICO PRIVADO DE OCCIDENTE,5,5,2,4,3,09-01-0147-46; 09-01-0274-46; 09-01-0493-46; 09-01-3649-46; 09-01-3775-46
QUICHÉ,CHICAMÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,1,1,1,14-19-0116-46; 14-19-0117-46; 14-19-0120-46; 14-19-0121-46; 14-19-0122-46
QUICHÉ,SAN MIGUEL USPANTÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,1,2,1,14-15-0281-46; 14-15-0282-46; 14-15-0283-46; 14-15-0285-46; 14-15-0286-46
SAN MARCOS,SAN MIGUEL IXTAHUACÁN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,5,5,2,2,1,12-05-0046-46; 12-05-0078-46; 12-05-0080-46; 12-05-0085-46; 12-05-0086-46
GUATEMALA,AMATITLÁN,LICEO CRISTIANO BETH SHALOM,10,4,3,5,3,01-14-0053-46; 01-14-0054-46; 01-14-0085-46; 01-14-0169-46; 01-14-0194-46; 01-14-6827-46; 01-14-6828-46; 01-14-6829-46; 01-14-6830-46; 01-14-7163-46
GUATEMALA,VILLA NUEVA,LICEO TÉCNICO DE VILLA NUEVA,10,4,4,4,4,01-15-0185-46; 01-15-0456-46; 01-15-0645-46; 01-15-0646-46; 01-15-0667-46; 01-15-6671-46; 01-15-6701-46; 01-15-9157-46; 01-15-9550-46; 01-15-9551-46
ALTA VERAPAZ,TACTIC,COLEGIO PARTICULAR MIXTO BLAISE PASCAL,8,4,3,5,3,16-04-0041-46; 16-04-0046-46; 16-04-0047-46; 16-04-0120-46; 16-04-0128-46; 16-04-0132-46; 16-04-1233-46; 16-04-1235-46
CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,8,4,3,4,4,04-01-0055-46; 04-01-0105-46; 04-01-0129-46; 04-01-0229-46; 04-01-0312-46; 04-01-0333-46; 04-01-2322-46; 04-01-3173-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO MIXTO PRIVADO SAN JOSÉ,8,4,2,5,4,09-01-0157-46; 09-01-0483-46; 09-01-0489-46; 09-01-0490-46; 09-01-0491-46; 09-01-3655-46; 09-01-3660-46; 09-01-3879-46
SANTA ROSA,BARBERENA,"INSTITUTO TECNOLÓGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""",8,4,1,6,3,06-02-0080-46; 06-02-0081-46; 06-02-0083-46; 06-02-0084-46; 06-02-0085-46; 06-02-0095-46; 06-02-0102-46; 06-02-1998-46
ALTA VERAPAZ,TACTIC,INSTITUTO AKALTIC,7,4,3,4,3,16-04-0036-46; 16-04-0049-46; 16-04-0050-46; 16-04-0124-46; 16-04-2308-46; 16-04-8320-46; 16-04-8321-46
CHIMALTENANGO,CHIMALTENANGO,TECNOLÓGICO PREUNIVERSITARIO,7,4,1,4,3,04-01-0058-46; 04-01-0230-46; 04-01-0357-46; 04-01-3066-46; 04-01-3067-46; 04-01-3068-46; 04-01-3245-46
CIUDAD CAPITAL,ZONA 2,"COLEGIO EVANGÉLICO MIXTO ""LA PATRIA""",7,4,3,3,2,00-02-0012-46; 00-02-0094-46; 00-02-0121-46; 00-02-0122-46; 00-02-0123-46; 00-02-0131-46; 00-02-0315-46
ESCUINTLA,IZTAPA,CENTRO EDUCATIVO JOSÉ MARTÍ,7,4,3,2,1,05-10-0019-46; 05-10-0020-46; 05-10-0021-46; 05-10-0022-46; 05-10-0025-46; 05-10-0032-46; 05-10-0033-46
ESCUINTLA,SANTA LUCÍA COTZUMALGUAPA,COLEGIO CRISTIANO EMMANUEL,7,4,2,3,3,05-02-0117-46; 05-02-0118-46; 05-02-0237-46; 05-02-0238-46; 05-02-0239-46; 05-02-1780-46; 05-02-3000-46
ESCUINTLA,SANTA LUCÍA COTZUMALGUAPA,LICEO MIXTO SAN JOSÉ,7,4,2,4,3,05-02-0034-46; 05-02-0045-46; 05-02-0055-46; 05-02-0057-46; 05-02-0058-46; 05-02-0072-46; 05-02-0251-46
GUATEMALA,VILLA NUEVA,LICEO PIERRE DE FERMAT,7,4,1,4,3,01-15-0270-46; 01-15-0271-46; 01-15-0273-46; 01-15-0523-46; 01-15-0524-46; 01-15-0628-46; 01-15-0765-46
HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO MIXTO AMERICANO,7,4,2,4,3,13-01-0180-46; 13-01-0289-46; 13-01-0340-46; 13-01-0409-46; 13-01-1584-46; 13-01-1592-46; 13-01-7142-46
SAN MARCOS,MALACATÁN,"INSTITUTO PRIVADO MIXTO ""MALACATECO""",7,4,2,4,3,12-15-0100-46; 12-15-0127-46; 12-15-0128-46; 12-15-0146-46; 12-15-0192-46; 12-15-0735-46; 12-15-4163-46
CHIQUIMULA,QUEZALTEPEQUE,INSTITUTO PRIVADO MIXTO NOCTURNO DE CIENCIAS COMERCIALES,6,4,2,4,3,20-09-0059-46; 20-09-0060-46; 20-09-0073-46; 20-09-0408-46; 20-09-2271-46; 20-09-2362-46
GUATEMALA,AMATITLÁN,INSTITUTO TÉCNICO VOCACIONAL PRIVADO AMATITLANECO,6,4,2,4,2,01-14-0131-46; 01-14-8821-46; 01-14-8840-46; 01-14-9722-46; 01-14-9724-46; 01-14-9830-46
GUATEMALA,FRAIJANES,COLEGIO INTEGRAL MIXTO EN COMPUTACIÓN ESTUDIANTIL FRAIJANES,6,4,3,3,3,01-13-0093-46; 01-13-0094-46; 01-13-0095-46; 01-13-0100-46; 01-13-0104-46; 01-13-0116-46
