departamento,municipio,establecimiento,registros,direcciones_distintas,status_distintos,jornadas_distintas,planes_distintos,codigos
HUEHUETENANGO,SANTA BÁRBARA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,13-10-0056-46; 13-10-0057-46; 13-10-0058-46
HUEHUETENANGO,SANTA CRUZ BARILLAS,COLEGIO EVANGÉLICO MIXTO BEREA,3,3,2,2,2,13-26-0198-46; 13-26-0199-46; 13-26-6879-46
HUEHUETENANGO,SANTA CRUZ BARILLAS,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,13-26-0244-46; 13-26-0245-46; 13-26-0246-46
HUEHUETENANGO,SANTA EULALIA,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,3,3,2,2,2,13-17-0051-46; 13-17-0056-46; 13-17-0080-46
HUEHUETENANGO,SANTA EULALIA,"COLEGIO PRIVADO MIXTO ""ELOHIM""",3,3,1,2,2,13-17-0055-46; 13-17-0060-46; 13-17-0083-46
IZABAL,MORALES,INED,3,3,1,2,1,18-04-0397-46; 18-04-0464-46; 18-04-0525-46
IZABAL,MORALES,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA -INED-,3,3,2,3,1,18-04-0185-46; 18-04-0199-46; 18-04-0200-46
IZABAL,PUERTO BARRIOS,"COLEGIO MIXTO BILINGÜE ""QUETZALLI""",3,3,1,3,2,18-01-0313-46; 18-01-0358-46; 18-01-0415-46
IZABAL,PUERTO BARRIOS,"ESCUELA PARTICULAR MIXTA ""JUSTO RUFINO BARRIOS""",3,3,1,3,3,18-01-0042-46; 18-01-0443-46; 18-01-3017-46
JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO MODERNO JALAPANECO,3,3,1,3,2,21-01-0107-46; 21-01-0293-46; 21-01-1420-46
JALAPA,JALAPA,"INSTITUTO PRIVADO ""LICEO INTERAMERICANO""",3,3,2,2,2,21-01-0325-46; 21-01-0379-46; 21-01-0404-46
JALAPA,MATAQUESCUINTLA,"COLEGIO PARTICULAR MIXTO ""EL DIVINO MAESTRO""",3,3,1,2,2,21-07-0001-46; 21-07-0092-46; 21-07-0093-46
JUTIAPA,JALPATAGUA,COLEGIO PARTICULAR MIXTO SAN JOSÉ OBRERO I,3,3,1,2,1,22-12-0054-46; 22-12-0057-46; 22-12-1946-46
JUTIAPA,JUTIAPA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,2,1,22-01-0295-46; 22-01-0298-46; 22-01-0305-46
PETÉN,DOLORES,"COLEGIO ""IXTANCHÉ""",3,3,1,3,3,17-08-0004-46; 17-08-0098-46; 17-08-0112-46
PETÉN,EL CHAL,COLEGIO EDUCATIVO DIVERSIFICADO LAS FLORES -CEDIF-,3,3,2,2,2,17-14-0078-46; 17-14-0080-46; 17-14-0102-46
PETÉN,FLORES,CENTRO EDUCATIVO MODELO,3,3,2,2,2,17-01-0078-46; 17-01-0161-46; 17-01-3821-46
PETÉN,FLORES,INSTITUTO COMERCIAL VILLA CONCEPCION,3,3,1,2,2,17-01-0125-46; 17-01-0131-46; 17-01-2295-46
PETÉN,FLORES,INSTITUTO MIXTO DE EDUCACION FUNDAMENTAL IMEF,3,3,1,2,2,17-01-3820-46; 17-01-3998-46; 17-01-4075-46
PETÉN,POPTÚN,COLEGIO MIXTO PRIVADO SAN PEDRO MARTIR DE VERONA,3,3,2,1,2,17-12-0142-46; 17-12-0143-46; 17-12-0156-46
PETÉN,POPTÚN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,17-12-0083-46; 17-12-0184-46; 17-12-0185-46
PETÉN,SAN ANDRÉS,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,2,17-04-0129-46; 17-04-0130-46; 17-04-0132-46
PETÉN,SAYAXCHÉ,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,2,2,1,17-10-0378-46; 17-10-0379-46; 17-10-0381-46
QUETZALTENANGO,COATEPEQUE,CENTRO EDUCATIVO PRIVADO DEL SUR,3,3,1,3,3,09-20-0045-46; 09-20-0083-46; 09-20-0157-46
QUETZALTENANGO,COATEPEQUE,COLEGIO MARÍA AUXILIADORA,3,3,1,3,2,09-20-0064-46; 09-20-0890-46; 09-20-3605-46
QUETZALTENANGO,COATEPEQUE,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,2,2,1,09-20-0015-46; 09-20-0067-46; 09-20-0068-46
QUETZALTENANGO,COATEPEQUE,"INSTITUTO PRIVADO MIXTO DE CIENCIAS, APRENDIZAJE Y TECNOLOGÍA ""ICAT""",3,3,1,3,3,09-20-0074-46; 09-20-0101-46; 09-20-0148-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,2,1,1,09-01-0195-46; 09-01-0196-46; 09-01-0198-46
QUICHÉ,CHAJUL,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,14-05-0111-46; 14-05-0113-46; 14-05-0114-46
QUICHÉ,IXCÁN,LICEO MIXTO DEL NORTE,3,3,1,2,2,14-20-0161-46; 14-20-0165-46; 14-20-0182-46
QUICHÉ,SANTA CRUZ DEL QUICHÉ,"COLEGIO EJECUTIVO PRE-UNIVERSITARIO EN COMPUTACIÓN ""CLASSE""",3,3,2,3,3,14-01-0210-46; 14-01-0259-46; 14-01-0275-46
QUICHÉ,SANTA CRUZ DEL QUICHÉ,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA,3,3,1,3,2,14-01-0176-46; 14-01-0178-46; 14-01-0180-46
QUICHÉ,SANTA CRUZ DEL QUICHÉ,INSTITUTO PRIVADO TÉCNICO INDUSTRIAL QUICHÉ,3,3,1,3,2,14-01-0249-46; 14-01-0279-46; 14-01-3544-46
QUICHÉ,SANTA CRUZ DEL QUICHÉ,LICEO MIXTO QUICHÉ,3,3,2,3,3,14-01-0166-46; 14-01-0243-46; 14-01-0273-46
QUICHÉ,SANTO TOMÁS CHICHICASTENANGO,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,14-06-0156-46; 14-06-0158-46; 14-06-0159-46
RETALHULEU,RETALHULEU,COLEGIO MIXTO ISIDRO TARACENA,3,3,2,2,2,11-01-0488-46; 11-01-1405-46; 11-01-1406-46
RETALHULEU,RETALHULEU,COLEGIO NACIONAL DE EDUCACIÓN VIRTUAL TESLA,3,3,2,2,2,11-01-0522-46; 11-01-0552-46; 11-01-0557-46
RETALHULEU,RETALHULEU,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,3,1,11-01-0101-46; 11-01-0402-46; 11-01-0464-46
RETALHULEU,RETALHULEU,INSTITUTO NACIONAL MIXTO NOCTURNO DE EDUCACIÓN MEDIA,3,3,1,1,1,11-01-0082-46; 11-01-0437-46; 11-01-0527-46
RETALHULEU,SAN ANDRÉS VILLA SECA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,2,1,11-06-0015-46; 11-06-0016-46; 11-06-0017-46
RETALHULEU,SAN MARTÍN ZAPOTITLÁN,CENTRO DE ESTUDIOS INTEGRALES CEDEIN,3,3,2,2,3,11-04-0020-46; 11-04-0021-46; 11-04-0035-46
SACATEPÉQUEZ,ANTIGUA GUATEMALA,COLEGIO ANTIGUA,3,3,2,2,1,03-01-0210-46; 03-01-0947-46; 03-01-1403-46
SACATEPÉQUEZ,ANTIGUA GUATEMALA,TECNOLÓGICO MODERNO CENTRO EDUCACIONAL,3,3,1,3,2,03-01-0268-46; 03-01-0287-46; 03-01-1398-46
SACATEPÉQUEZ,MAGDALENA MILPAS ALTAS,INSTITUTO MUNICIPAL MIXTO DE EDUCACIÓN,3,3,3,3,3,03-10-0008-46; 03-10-0010-46; 03-10-0017-46
SACATEPÉQUEZ,SAN BARTOLOMÉ MILPAS ALTAS,CENTRO EDUCATIVO MUNICIPAL SAN BARTOLOME MILPAS ALTAS,3,3,2,1,1,03-07-0019-46; 03-07-0027-46; 03-07-0032-46
SACATEPÉQUEZ,SANTO DOMINGO XENACOJ,INSTITUTO MIXTO MUNICIPAL NAWAL,3,3,3,2,2,03-05-0002-46; 03-05-0030-46; 03-05-1259-46
SAN MARCOS,AYUTLA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,12-17-0009-46; 12-17-0010-46; 12-17-0013-46
SAN MARCOS,CATARINA,COLEGIO CRISTIANO SHEKINA,3,3,1,2,2,12-16-0028-46; 12-16-0029-46; 12-16-5375-46
SAN MARCOS,COMITANCILLO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,2,2,1,12-04-0077-46; 12-04-0078-46; 12-04-0079-46
SAN MARCOS,CONCEPCIÓN TUTUAPA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,3,3,2,1,1,12-06-0104-46; 12-06-0126-46; 12-06-0127-46
SAN MARCOS,MALACATÁN,CENTRO PRIVADO DE ESTUDIOS SUPERACIÓN,3,3,2,2,2,12-15-0061-46; 12-15-0190-46; 12-15-5094-46
SAN MARCOS,SAN LORENZO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,2,1,12-29-0021-46; 12-29-0022-46; 12-29-0056-46
SAN MARCOS,SAN PABLO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,12-19-0048-46; 12-19-0049-46; 12-19-0057-46
SAN MARCOS,SIPACAPA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,3,3,2,1,1,12-26-0055-46; 12-26-0056-46; 12-26-0064-46
SAN MARCOS,TACANÁ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,2,1,12-07-0139-46; 12-07-0157-46; 12-07-0216-46
SAN MARCOS,TEJUTLA,COLEGIO TECNOLOGICO TEJUTLA,3,3,2,1,2,12-10-0103-46; 12-10-0104-46; 12-10-0105-46
SANTA ROSA,BARBERENA,COLEGIO MIXTO SAN JOSÉ,3,3,2,2,2,06-02-0088-46; 06-02-0099-46; 06-02-1941-46
SANTA ROSA,CHIQUIMULILLA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,06-08-0052-46; 06-08-0056-46; 06-08-0084-46
SANTA ROSA,CUILAPA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,1,1,06-01-0126-46; 06-01-0127-46; 06-01-0128-46
SOLOLÁ,SOLOLÁ,CENTRO EDUCATIVO INTERCULTURAL PARA EL DESARROLLO COMUNITARIO CEIDECO,3,3,2,2,2,07-01-0172-46; 07-01-0195-46; 07-01-2794-46
SOLOLÁ,SOLOLÁ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,2,2,1,07-01-0100-46; 07-01-0105-46; 07-01-0106-46
SUCHITEPÉQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO DE LIDERAZGO ""ILAG""",3,3,1,2,1,10-01-0359-46; 10-01-0418-46; 10-01-0427-46
SUCHITEPÉQUEZ,MAZATENANGO,"INSTITUTO PRIVADO MIXTO ""JOSE ERNESTO MONZON""",3,3,1,3,3,10-01-0296-46; 10-01-0321-46; 10-01-0395-46
SUCHITEPÉQUEZ,SAN FRANCISCO ZAPOTITLÁN,"INSTITUTO PRIVADO MIXTO ""EL ALFARERO""",3,3,1,3,3,10-03-0037-46; 10-03-0040-46; 10-03-0042-46
TOTONICAPÁN,MOMOSTENANGO,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,2,1,08-05-0305-46; 08-05-0306-46; 08-05-0307-46
TOTONICAPÁN,SAN CRISTÓBAL TOTONICAPÁN,COLEGIO CRISTIANO DEL VALLE,3,3,1,2,2,08-02-0055-46; 08-02-0056-46; 08-02-0068-46
ZACAPA,RÍO HONDO,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,3,3,1,2,1,19-03-0017-46; 19-03-0018-46; 19-03-0020-46
CIUDAD CAPITAL,ZONA 1,INSTITUTO GUILLERMO PUTZEYS ÁLVAREZ,11,2,3,3,3,00-01-0402-46; 00-01-0534-46; 00-01-0564-46; 00-01-0638-46; 00-01-0688-46; 00-01-0724-46; 00-01-0734-46; 00-01-0844-46; 00-01-2385-46; 00-01-2461-46; 00-01-9773-46
IZABAL,LOS AMATES,CENTRO EDUCATIVO MAYA,11,2,3,4,3,18-05-0083-46; 18-05-0084-46; 18-05-0085-46; 18-05-0086-46; 18-05-0114-46; 18-05-0117-46; 18-05-0118-46; 18-05-0137-46; 18-05-0152-46; 18-05-0153-46; 18-05-0154-46
ESCUINTLA,SAN JOSÉ,"COLEGIO PREUNIVERSITARIO ""SAN PABLO""",9,2,2,4,3,05-09-0081-46; 05-09-0082-46; 05-09-0083-46; 05-09-0084-46; 05-09-0085-46; 05-09-0086-46; 05-09-0087-46; 05-09-0088-46; 05-09-0120-46
SAN MARCOS,SAN PEDRO SACATEPÉQUEZ,"COLEGIO PARTICULAR ""LICEO MINERVA""",9,2,2,4,3,12-02-0172-46; 12-02-0173-46; 12-02-0186-46; 12-02-0187-46; 12-02-0188-46; 12-02-0189-46; 12-02-0200-46; 12-02-3695-46; 12-02-4737-46
ALTA VERAPAZ,SAN CRISTÓBAL VERAPAZ,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,8,2,2,5,3,16-03-0076-46; 16-03-0077-46; 16-03-0082-46; 16-03-0083-46; 16-03-0097-46; 16-03-0108-46; 16-03-0109-46; 16-03-0243-46
CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,8,2,1,4,3,00-12-0048-46; 00-12-0049-46; 00-12-0051-46; 00-12-0052-46; 00-12-0055-46; 00-12-0056-46; 00-12-0060-46; 00-12-0135-46
ESCUINTLA,NUEVA CONCEPCIÓN,"CENTRO PEDAGÓGICO ""GUATEMALA""",8,2,2,4,3,05-13-0072-46; 05-13-0073-46; 05-13-0074-46; 05-13-0097-46; 05-13-0114-46; 05-13-2546-46; 05-13-2547-46; 05-13-2791-46
ESCUINTLA,TIQUISATE,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,8,2,2,3,3,05-06-0039-46; 05-06-0057-46; 05-06-0070-46; 05-06-0094-46; 05-06-0107-46; 05-06-0108-46; 05-06-0109-46; 05-06-0140-46
SAN MARCOS,NUEVO PROGRESO,"LICEO ""SAN JOSÉ""",8,2,2,4,3,12-12-0055-46; 12-12-0071-46; 12-12-0072-46; 12-12-0075-46; 12-12-0076-46; 12-12-0077-46; 12-12-0088-46; 12-12-4537-46
ALTA VERAPAZ,COBÁN,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,7,2,2,5,3,16-01-0671-46; 16-01-0912-46; 16-01-1312-46; 16-01-1313-46; 16-01-1469-46; 16-01-6191-46; 16-01-9095-46
EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,CENTRO EDUCATIVO PRIVADO MIXTO ACAZAU-AZTLÁN,7,2,2,3,3,02-03-0050-46; 02-03-0052-46; 02-03-0116-46; 02-03-0117-46; 02-03-0162-46; 02-03-0163-46; 02-03-0164-46
ESCUINTLA,NUEVA CONCEPCIÓN,LICEO CRISTIANO NAZARETH,7,2,2,3,3,05-13-0059-46; 05-13-0069-46; 05-13-0070-46; 05-13-0079-46; 05-13-0086-46; 05-13-0106-46; 05-13-0571-46
ESCUINTLA,TIQUISATE,INSTITUTO TÉCNICO INDUSTRIAL PRIVADO DE TIQUISATE,7,2,2,3,3,05-06-0030-46; 05-06-0031-46; 05-06-0078-46; 05-06-0086-46; 05-06-0089-46; 05-06-0097-46; 05-06-0144-46
CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,6,2,1,4,4,04-01-0165-46; 04-01-0167-46; 04-01-0261-46; 04-01-0262-46; 04-01-0319-46; 04-01-0331-46
CIUDAD CAPITAL,ZONA 1,CENTRO PROFESIONAL DE ESTUDIOS DE COMPUTACIÓN,6,2,1,5,3,00-01-0825-46; 00-01-7326-46; 00-01-7329-46; 00-01-7376-46; 00-01-7378-46; 00-01-9359-46
CIUDAD CAPITAL,ZONA 1,INSTITUTO DE ESTUDIOS ESPECIALIZADOS EN CIENCIAS DE LA COMPUTACIÓN,6,2,2,4,3,00-01-0834-46; 00-01-7706-46; 00-01-7707-46; 00-01-7710-46; 00-01-7711-46; 00-01-9464-46
CIUDAD CAPITAL,ZONA 1,INSTITUTO TECNOLÓGICO DE COMPUTACIÓN I.T.C.,6,2,2,3,3,00-01-0238-46; 00-01-0608-46; 00-01-0628-46; 00-01-0882-46; 00-01-0884-46; 00-01-0885-46
CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SUR,6,2,2,4,3,00-12-0059-46; 00-12-0137-46; 00-12-8819-46; 00-12-8821-46; 00-12-8824-46; 00-12-8825-46
CIUDAD CAPITAL,ZONA 3,COLEGIO TÉCNICO MODERNO,6,2,3,4,2,00-03-0034-46; 00-03-8572-46; 00-03-8574-46; 00-03-8576-46; 00-03-8579-46; 00-03-8581-46
CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLÓGICO EN ELECTRÓNICA Y DIBUJO,6,2,2,4,3,00-07-0080-46; 00-07-0093-46; 00-07-0220-46; 00-07-9260-46; 00-07-9261-46; 00-07-9785-46
ESCUINTLA,PALÍN,"COLEGIO ""SAN CARLOS""",6,2,2,4,4,05-11-0060-46; 05-11-0081-46; 05-11-0109-46; 05-11-0492-46; 05-11-0723-46; 05-11-0724-46
ESCUINTLA,SAN JOSÉ,"COLEGIO PARTICULAR MIXTO ""SANTA MARÍA""",6,2,2,4,3,05-09-0065-46; 05-09-0073-46; 05-09-0075-46; 05-09-0110-46; 05-09-0730-46; 05-09-3012-46
GUATEMALA,MIXCO,COLEGIO EN COMPUTACIÓN SAN JOSÉ NO. 2,6,2,3,4,3,01-08-0133-46; 01-08-0134-46; 01-08-0135-46; 01-08-0137-46; 01-08-0140-46; 01-08-0776-46
GUATEMALA,MIXCO,COLEGIO NAKBÉ,6,2,2,2,3,01-08-0719-46; 01-08-0720-46; 01-08-0735-46; 01-08-0780-46; 01-08-0796-46; 01-08-0797-46
GUATEMALA,VILLA NUEVA,CENTRO EDUCATIVO INTELLECTUS PRE-UNIVERSITARIO,6,2,3,3,5,01-15-0364-46; 01-15-0365-46; 01-15-0367-46; 01-15-0544-46; 01-15-0664-46; 01-15-0747-46
GUATEMALA,VILLA NUEVA,COLEGIO MIXTO MARTA MARIA,6,2,2,5,3,01-15-0194-46; 01-15-0195-46; 01-15-0198-46; 01-15-0199-46; 01-15-0687-46; 01-15-7133-46
GUATEMALA,VILLA NUEVA,LICEO COMPU-MARKET,6,2,2,4,3,01-15-0230-46; 01-15-0673-46; 01-15-8403-46; 01-15-9275-46; 01-15-9276-46; 01-15-9498-46
QUETZALTENANGO,QUETZALTENANGO,ESCUELA PRIVADA MIXTA DE FORMACIÓN ARTÍSTICA QUETZALTENANGO,6,2,3,3,3,09-01-0331-46; 09-01-0380-46; 09-01-0511-46; 09-01-3234-46; 09-01-3953-46; 09-01-3992-46
QUICHÉ,CUNÉN,"COLEGIO MIXTO BILINGÜE INTERCULTURAL ""HERMANO OSCAR AZMITIA""",6,2,3,4,3,14-10-0077-46; 14-10-0078-46; 14-10-0079-46; 14-10-0102-46; 14-10-0107-46; 14-10-4571-46
RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,6,2,2,4,4,11-01-0126-46; 11-01-0127-46; 11-01-0142-46; 11-01-0143-46; 11-01-0159-46; 11-01-0511-46
SACATEPÉQUEZ,ANTIGUA GUATEMALA,INSTITUTO DE COMPUTACIÓN INFORMÁTICA,6,2,2,4,3,03-01-0257-46; 03-01-1150-46; 03-01-1151-46; 03-01-1152-46; 03-01-1158-46; 03-01-1293-46
SACATEPÉQUEZ,ANTIGUA GUATEMALA,INSTITUTO TECNOLÓGICO EMPRESARIAL,6,2,2,4,3,03-01-0127-46; 03-01-0128-46; 03-01-0129-46; 03-01-0133-46; 03-01-0167-46; 03-01-0246-46
SACATEPÉQUEZ,SUMPANGO,CENTRO EDUCATIVO TERRA MAYA EMANUEL TEM,6,2,3,4,3,03-04-0005-46; 03-04-0024-46; 03-04-0026-46; 03-04-0060-46; 03-04-0079-46; 03-04-0082-46
SAN MARCOS,MALACATÁN,INSTITUTO PRIVADO TECNOLÓGICO BENSON,6,2,2,4,3,12-15-0075-46; 12-15-0103-46; 12-15-0104-46; 12-15-0125-46; 12-15-0177-46; 12-15-3047-46
SAN MARCOS,MALACATÁN,LICEO ESPAÑOL,6,2,2,3,3,12-15-0054-46; 12-15-0055-46; 12-15-0056-46; 12-15-0073-46; 12-15-0121-46; 12-15-0181-46
SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""",6,2,3,3,3,12-01-0144-46; 12-01-0180-46; 12-01-0186-46; 12-01-0191-46; 12-01-4645-46; 12-01-4653-46
SUCHITEPÉQUEZ,CHICACAO,COLEGIO PRIVADO MIXTO PAMAXÁN,6,2,2,4,3,10-13-0048-46; 10-13-0049-46; 10-13-0050-46; 10-13-0051-46; 10-13-0056-46; 10-13-0059-46
SUCHITEPÉQUEZ,MAZATENANGO,"COLEGIO PRIVADO ""RAFAEL LANDIVAR""",6,2,2,4,3,10-01-0281-46; 10-01-0282-46; 10-01-0283-46; 10-01-0284-46; 10-01-0285-46; 10-01-0381-46
SUCHITEPÉQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,6,2,2,2,2,10-01-0104-46; 10-01-0105-46; 10-01-0396-46; 10-01-0399-46; 10-01-2481-46; 10-01-2617-46
ALTA VERAPAZ,PANZÓS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,5,2,1,5,3,16-07-0194-46; 16-07-0195-46; 16-07-0252-46; 16-07-0253-46; 16-07-9096-46
ALTA VERAPAZ,SAN CRISTÓBAL VERAPAZ,LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA,5,2,1,4,3,16-03-0092-46; 16-03-0104-46; 16-03-0105-46; 16-03-0106-46; 16-03-0245-46
BAJA VERAPAZ,SALAMÁ,COLEGIO PARTICULAR MIXTO TEZULUTLÁN,5,2,2,4,3,15-01-0051-46; 15-01-0099-46; 15-01-0153-46; 15-01-0177-46; 15-01-2023-46
BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,5,2,3,4,3,15-02-0117-46; 15-02-0118-46; 15-02-0119-46; 15-02-0120-46; 15-02-0138-46
CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGÉLICO MIXTO ADONAI,5,2,2,4,3,20-01-0178-46; 20-01-0179-46; 20-01-0311-46; 20-01-1545-46; 20-01-2089-46
CIUDAD CAPITAL,ZONA 1,CENTRO EDUCATIVO LICEO EVANGÉLICO CAMINO Y VERDAD,5,2,2,2,2,00-01-0346-46; 00-01-0347-46; 00-01-0348-46; 00-01-9326-46; 00-01-9328-46
CIUDAD CAPITAL,ZONA 1,COLEGIO INTERNACIONAL CAMBRIDGE (CIS),5,2,2,3,3,00-01-0339-46; 00-01-0340-46; 00-01-0584-46; 00-01-0585-46; 00-01-0832-46
CIUDAD CAPITAL,ZONA 1,COLEGIO TECNOLÓGICO LA MISIÓN,5,2,2,4,3,00-01-0396-46; 00-01-0397-46; 00-01-0398-46; 00-01-0399-46; 00-01-0824-46
CIUDAD CAPITAL,ZONA 1,LICEO DE COMPUTACIÓN C.S.S.,5,2,2,4,2,00-01-0196-46; 00-01-0266-46; 00-01-0542-46; 00-01-2451-46; 00-01-9452-46
CIUDAD CAPITAL,ZONA 1,LICEO HISPANOAMERICANO NO. 2,5,2,2,3,3,00-01-0318-46; 00-01-0322-46; 00-01-0323-46; 00-01-0595-46; 00-01-0782-46
CIUDAD CAPITAL,ZONA 1,LICEO TECNÓLOGICO MAYA DE GUATEMALA,5,2,2,3,3,00-01-0368-46; 00-01-0369-46; 00-01-0772-46; 00-01-9594-46; 00-01-9595-46
CIUDAD CAPITAL,ZONA 12,COLEGIO IMB-PC,5,2,2,3,4,00-12-0131-46; 00-12-0156-46; 00-12-9753-46; 00-12-9758-46; 00-12-9759-46
CIUDAD CAPITAL,ZONA 17,COLEGIO PANAMERICANO,5,2,1,2,2,00-17-0023-46; 00-17-0028-46; 00-17-9767-46; 00-17-9769-46; 00-17-9771-46
CIUDAD CAPITAL,ZONA 18,CENTRO EDUCATIVO INMACULADA CONCEPCIÓN,5,2,2,4,3,00-18-0070-46; 00-18-0073-46; 00-18-0075-46; 00-18-0077-46; 00-18-0228-46
CIUDAD CAPITAL,ZONA 18,LICEO CUMORAH PINOS,5,2,2,1,1,00-18-0154-46; 00-18-0155-46; 00-18-0156-46; 00-18-0161-46; 00-18-0220-46
CIUDAD CAPITAL,ZONA 21,CENTRO EDUCATIVO DEMOSOFT,5,2,2,4,3,00-21-0046-46; 00-21-0047-46; 00-21-0049-46; 00-21-0050-46; 00-21-0084-46
EL PROGRESO,SANARATE,ESCUELA TECNICA CIENCIA APLICADA ESTECA-PC,5,2,2,3,2,02-07-0024-46; 02-07-0678-46; 02-07-0679-46; 02-07-0691-46; 02-07-0699-46
ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,5,2,2,3,3,05-01-0231-46; 05-01-0259-46; 05-01-0336-46; 05-01-0442-46; 05-01-0473-46
ESCUINTLA,ESCUINTLA,CORPORACIÓN DEL LICEO EDUCATIVO TÉCNICO EVANGÉLICO SOCIEDAD ANÓNIMA,5,2,2,2,3,05-01-0338-46; 05-01-0339-46; 05-01-0340-46; 05-01-0410-46; 05-01-0447-46
ESCUINTLA,ESCUINTLA,INSTITUTO COMERCIAL DE CÓMPUTOS AVANZADOS,5,2,1,4,3,05-01-0307-46; 05-01-0368-46; 05-01-0455-46; 05-01-0721-46; 05-01-3057-46
GUATEMALA,AMATITLÁN,COLEGIO MIXTO CULTURA,5,2,2,4,2,01-14-0058-46; 01-14-0187-46; 01-14-0189-46; 01-14-3056-46; 01-14-6800-46
GUATEMALA,MIXCO,COLEGIO DE ESTUDIOS AVANZADOS GUATEMALTECO,5,2,3,4,3,01-08-0883-46; 01-08-8945-46; 01-08-8946-46; 01-08-9127-46; 01-08-9565-46
GUATEMALA,SAN JUAN SACATEPÉQUEZ,COLEGIO INTELIGENCIAS MÚLTIPLES,5,2,2,4,3,01-10-0078-46; 01-10-0217-46; 01-10-0220-46; 01-10-0228-46; 01-10-0310-46
GUATEMALA,SAN MIGUEL PETAPA,INSTITUTO TÉCNICO EMILIANI SOMASCOS,5,2,2,2,1,01-17-0225-46; 01-17-0226-46; 01-17-0227-46; 01-17-0228-46; 01-17-0229-46
GUATEMALA,VILLA NUEVA,INSTITUTO MIXTO NOCTURNO EL ANGEL,5,2,2,3,2,01-15-0337-46; 01-15-0611-46; 01-15-0612-46; 01-15-0626-46; 01-15-7859-46
GUATEMALA,VILLA NUEVA,LICEO TECNOLÓGICO GALES,5,2,2,4,3,01-15-0589-46; 01-15-0590-46; 01-15-0591-46; 01-15-0593-46; 01-15-0683-46
