column,expected_values,unexpected_values,unexpected_count
NIVEL,DIVERSIFICADO,,0
AREA,"RURAL, URBANA",SIN ESPECIFICAR,1
DEPARTAMENTO,23 departamentos locales,,0
DEPARTAMENTAL,23 departamentos locales,"GUATEMALA NORTE, GUATEMALA OCCIDENTE, GUATEMALA ORIENTE, GUATEMALA SUR, PETÉN, QUICHÉ, QUICHÉ NORTE, SACATEPÉQUEZ, SOLOLÁ, SUCHITEPÉQUEZ, TOTONICAPÁN",11
